test,"ID test"
jobAds,"Iklan Lowongan"
paymentType,"Jenis pembayaran"
prepaid,"Prabayar"
postpaid,"Paskabayar"
selectPackageLiteTitle,"Berapa jumlah Lite Ads yang ingin Anda beli?"
selectPackageBasicTitle,"Berapa jumlah Basic Ads yang ingin Anda beli?"
selectPackageBrandedTitle,"Berapa jumlah Branded Ads yang ingin Anda beli?"
selectPackagePremiumTitle,"Berapa jumlah Premium Ads yang ingin Anda beli?"
selectPackagePremiumAdPlusTitle,"Berapa jumlah Premium Ad Plus yang ingin Anda beli?"
day,"hari"
days,"hari"
month,"bulan"
months,"bulan"
year,"tahun"
years,"tahun"
unlimited,"Unlimited"
validity," masa berlaku"
packageValidity," masa berlaku paket"
buyNow,"Beli sekarang"
buyBoxNeedMore,"Butuh lebih banyak Branded Ad? "
buyBoxForQuotation," untuk mendapatkan penawaran."
buyBoxContactUs,"Hubungi kami"
adSampleHeadline,"Ini tampilan iklan lowongan untuk kandidat."
liteAndBasicAd,"Lite dan Basic Ad"
brandedAndPremiumAd,"Branded dan Premium Ad"
faqsHeadline,"FAQ"
faqQuestionOne,"How do I make payment for a prepaid JobStreet.com package?"
faqQuestionTwo,"How do I make payment for a postpaid JobStreet.com package?"
faqQuestionThree,"How do I make payment for a JobStreet.com package with a credit card?"
faqQuestionFour,"I have submitted my Service Agreement Form (SAF) to my account manager to create and process my order. What is the next process?"
faqQuestionFive,"How do I make payment through BDO Unibank’s Personal Online Banking (POB) for a JobStreet.com package?"
faqQuestionSix,"How do I make payment through BDO Unibank’s Business Online Banking (BOB) for a JobStreet.com package?"
faqQuestionSeven,"I am not a BDO Unibank account user, how do I make payment through BDO Unibank online banking for JobStreet.com package?"
talentSearchHeadline,"Cari dan terhubung dengan kandidat yang tepat lebih cepat."
talentSearchDescribe,"Talent Search dari JobStreet dapat membantu Anda mendapatkan kandidat paling sesuai dengan posisi yang dibutuhkan."
selectaPackage,"Pilih paket:"
adTypeTitle,"Buat iklan lowongan Anda menarik bagi kandidat yang tepat."
adTypeDescription,"Pilih jenis iklan yang paling sesuai untuk posisi yang Anda butuhkan. Semua iklan akan tayang selama 30 hari di situs lowongan kerja terbesar di {{country}}."
unitPopularValue,"Paling Populer"
unitBestValue,"Penawaran Terbaik"
unitUnitType,"/ ad"
unitBtnDefaltValue,"Pilih"
unitBtnClickedValue,"Dipilih"
unitExampleValue,"Lihat contoh"
unitShowDetailValue,"Tampilkan detailnya"
FreeAdPrice,"Gratis"
FreeAdBtnDefaltValue,"Buat iklan lowongan sekarang"
allLiteAdCreditUsed,"Semua kredit Lite Ad Anda telah digunakan"
servicePremiumAdPlus,"Pelayanan terjamin"
servicePremiumAdPlusInfo,"Jaminan pemberian 30 hari tambahan <br />untuk iklan lowongan dengan jumlah <br />lamaran kurang dari {{count}}."
reAlert,"Notifikasi lowongan kepada kandidat"
liteAdName,"Lite Ad"
liteAdsName,"Lite Ads"
liteAdSubTitle,"Dapatkan akses ke situs lowongan kerja terbesar"
liteAdSellingPointOne,"Penayangan iklan lowongan selama 30 hari."
liteAdSellingPointTwo,"Desktop, ponsel dan tablet."
liteAdSellingPointThree,"Fitur penulisan iklan lowongan."
jobAdName,"Job Ad"
jobAdsName,"Job Ads"
